id,title,时效性,效力位阶,制定机关,发文字号,公布日期,实施日期,原文链接,city_name
1,佛山市禅城区“十二五”人才发展规划,现行有效,地方工作文件,佛山市禅城区人民政府,,2011,2011,https://www.pkulaw.com/lar/d7cd113f691fdf07801f75ced9e06385bdfb.html,佛山市
2,重庆市人力资源和社会保障局关于开展2011年全市技工学校教师职称系列专业技术职务任职资格申报评审工作的通知,现行有效,地方工作文件,重庆市人力资源和社会保障局,渝人社办〔2011〕156号,2011,2011,https://www.pkulaw.com/lar/751868e68ae34b21eee57b2a7ef4b6efbdfb.html,重庆市
3,南昌市人民政府办公厅转发市人力资源和社会保障局、市财政局关于南昌市市直其他事业单位绩效工资实施方案的通知,现行有效,地方工作文件,南昌市人民政府,洪府厅发〔2011〕5号,2011.01.11,2011.01.11,https://www.pkulaw.com/lar/d46150633aed7eb641b44ad277a8bdebbdfb.html,南昌市
4,银川市人民政府办公厅关于印发政府工作报告任务分工的通知,现行有效,地方工作文件,银川市人民政府,银政办发〔2011〕1号,2011.02.11,2011.02.11,https://www.pkulaw.com/lar/6cbc1b2d9187d6b15295a556e9751616bdfb.html,银川市
5,无锡市人民政府关于印发无锡市国民经济和社会发展第十二个五年规划纲要的通知,现行有效,地方工作文件,无锡市人民政府,锡政发〔2011〕27号,2011.02.18,2011.02.18,https://www.pkulaw.com/lar/3ef1146617dca0625a55538e4f29fee8bdfb.html,无锡市
6,东营市科学技术协会关于成立东营博士协会相关事宜的通知,现行有效,地方工作文件,东营市科学技术协会,东科协〔2011〕7号,2011.02.24,2011.02.24,https://www.pkulaw.com/lar/4f35ffe97aa5fef5130354fe24fc62edbdfb.html,东营市
7,龙岩市人民政府关于印发龙岩市高技能人才培养规划(2010～2020)的通知,现行有效,地方工作文件,龙岩市人民政府,龙政综[2011]67号,2011.03.04,2011.03.04,https://www.pkulaw.com/lar/6739584900419a3d1183a18124badc49bdfb.html,龙岩市
8,深圳市人力资源和社会保障局关于做好我市2011年人才引进工作有关事项的通知,现行有效,地方工作文件,深圳市人力资源和社会保障局,深人社发〔2011〕30号,2011.03.07,2011.03.14,https://www.pkulaw.com/lar/0799117485bd5a3bfd1d4e67ced7a2c1bdfb.html,深圳市
9,石家庄市人民政府办公厅关于印发石家庄市人力资源和社会保障事业发展十二五规划的通知,现行有效,地方工作文件,石家庄市人民政府,石政办发〔2011〕24号,2011.04.21,2011.04.21,https://www.pkulaw.com/lar/e0286dccf5dc6047cdffd94460d4c414bdfb.html,石家庄市
10,邯郸市人民政府办公厅关于印发邯郸市国民经济和社会发展第十二个五年规划纲要的通知,现行有效,地方工作文件,邯郸市人民政府,,2011.04.22,2011.04.22,https://www.pkulaw.com/lar/556673d86c77243642013cc6f4150756bdfb.html,邯郸市
11,厦门市人民政府办公厅关于印发厦门市财政第十二个五年发展规划的通知,现行有效,地方工作文件,厦门市人民政府,厦府办〔2011〕101号,2011.05.12,2011.05.12,https://www.pkulaw.com/lar/21b6fbee014ce0ca78bad13d87bc1275bdfb.html,厦门市
12,广州市人民政府印发广州区域金融中心建设规划(2011―2020年)的通知,现行有效,地方工作文件,广州市人民政府,穗府〔2011〕8号,2011.05.19,2011.05.19,https://www.pkulaw.com/lar/0ef857c0d1b6c2f540d386f190b4e8eabdfb.html,广州市
13,"青岛市人民政府国有资产监督管理委员会关于印发《青岛市国有企业“十二五”期间转方式、调结构,实现科学发展规划纲要》的通知",现行有效,地方工作文件,青岛市人民政府国有资产监督管理委员会,青国资委[2011]31号,2011.05.29,2011.05.29,https://www.pkulaw.com/lar/5917ecff09da970ea754fcbe2409b997bdfb.html,青岛市
14,成都市劳动和社会保障局关于印发《2010年成都市人才资源状况报告》和《2011年成都市重点产业和新兴产业人才开发目录》的通知,现行有效,地方工作文件,成都市劳动和社会保障局,,2011.05.30,2011.05.30,https://www.pkulaw.com/lar/deb4b678ceecc5fd8020a880298e83e6bdfb.html,成都市
15,阜阳市人民政府办公室关于推进城市商贸服务业发展示范区建设的意见,废止或失效,地方工作文件,阜阳市人民政府,阜政办〔2011〕29号,2011.06.04,2011.06.04,https://www.pkulaw.com/lar/6e1289f3016bb664992fd1ec91e7f554bdfb.html,阜阳市
16,昆明市人民政府办公厅关于印发昆明市拓展高端信息化指导意见和昆明市物联网产业发展规划纲要(2011—2015年)的通知,废止或失效,地方工作文件,昆明市人民政府,昆政办〔2011〕84号,2011.06.24,2011.06.24,https://www.pkulaw.com/lar/d12257a4bc44015719c1fb4885d7b136bdfb.html,昆明市
17,雅安市人民代表大会常务委员会关于审议《中华人民共和国农业技术推广法》实施情况报告的意见,现行有效,地方工作文件,雅安市人大(含常委会),,2011.06.30,2011.06.30,https://www.pkulaw.com/lar/69b1292cbd7fcc0fe2e9b37b0c7a3823bdfb.html,雅安市
18,中共上海市教育卫生工作委员会、上海市教育委员会关于印发《上海教育人才“十二五”发展规划纲要》的通知,现行有效,地方工作文件,上海市教育卫生工作委员会;上海市教育委员会,沪教委人〔2011〕40号,2011.07.01,2011.07.01,https://www.pkulaw.com/lar/576acb4b18eed7843b57b199cd331de5bdfb.html,上海市
19,嘉兴市人民政府办公室关于印发嘉兴市人力资源和社会保障局主要职责内设机构和人员编制规定的通知,现行有效,地方工作文件,嘉兴市人民政府,嘉政办发〔2011〕95号,2011.07.05,2011.07.05,https://www.pkulaw.com/lar/039b84118b0fab368c35c4c7332ef81ebdfb.html,嘉兴市
20,中共渭南高新区工委、渭南高新区管委会关于印发渭南高新技术产业开发区人才特区建设规划(2011―2015)的通知,现行有效,地方工作文件,中共渭南高新区工委;渭南高新技术产业开发区管理委员会,,2011.07.07,2011.07.07,https://www.pkulaw.com/lar/43d8be73c5978db93b0ddafae1fb06efbdfb.html,渭南高新区
21,东莞市人民政府关于印发《东莞市先进制造业发展“十二五”规划》的通知,废止或失效,地方工作文件,东莞市人民政府,东府办〔2011〕92号,2011.07.20,2011.07.20,https://www.pkulaw.com/lar/6e2fa2ca4001a4a7778b0b1295034e64bdfb.html,东莞市
22,大连市人民政府办公厅关于印发大连市中长期教育改革和发展规划纲要(2010—2020年)任务分工的通知,现行有效,地方工作文件,大连市人民政府,大政办发〔2011〕92号,2011.08.16,2011.08.16,https://www.pkulaw.com/lar/1d7449cc3c4ca8d9feaf76fce9d06bbabdfb.html,大连市
23,海口市人民政府关于印发我市“十二五”知识产权发展规划的通知,废止或失效,地方工作文件,海口市人民政府,,2011.08.24,2011.08.24,https://www.pkulaw.com/lar/e36f0a5c4583d5fb96817cfce44af281bdfb.html,海口市
24,泉州市人民政府关于印发《“十二五”“智能泉州”建设专项规划》的通知,现行有效,地方工作文件,泉州市人民政府,泉政文[2011]211号,2011.08.28,2011.08.28,https://www.pkulaw.com/lar/8d4c276338d371787647fd9d84451d74bdfb.html,泉州市
25,西安市人民政府办公厅关于印发西安统筹科技资源改革示范基地建设规划的通知,现行有效,地方工作文件,西安市人民政府,市政办发〔2011〕147号,2011.08.29,2011.08.29,https://www.pkulaw.com/lar/b7ffae536ce958b6298d1b85d9afd49fbdfb.html,西安市
26,北京市人民政府关于印发北京市“十二五”时期科技北京发展建设规划的通知,废止或失效,地方工作文件,北京市人民政府,京政发〔2011〕46号,2011.09.01,2011.09.01,https://www.pkulaw.com/lar/29a1a5167367b3e368677166a23be227bdfb.html,北京市
27,济南市人民政府关于印发济南市“十二五”金融业发展规划的通知,现行有效,地方工作文件,济南市人民政府,济政发〔2011〕32号,2011.09.21,2011.09.21,https://www.pkulaw.com/lar/03cc548efdbee6179303636a07b5a22cbdfb.html,济南市
28,宁波市人民政府关于印发宁波市“十二五”人才发展规划的通知,现行有效,地方工作文件,宁波市人民政府,甬政发〔2011〕115号,2011.11.01,2011.11.01,https://www.pkulaw.com/lar/17383cc0abdd028288c2ca6e5791a686bdfb.html,宁波市
29,绍兴市人民政府关于印发绍兴市区物流业发展规划(2011－2015年)的通知,现行有效,地方工作文件,绍兴市人民政府,绍政发〔2011〕76号,2011.11.15,2011.11.15,https://www.pkulaw.com/lar/6a869540811c395159e53067b5669b81bdfb.html,绍兴市
